epoch,accuracy,loss,val_accuracy,val_loss
0,0.8010118007659912,0.5045003294944763,0.9380630850791931,0.19312311708927155
1,0.9339516758918762,0.19520187377929688,0.9515765905380249,0.21830730140209198
2,0.9578414559364319,0.1209082156419754,0.9684684872627258,0.15391167998313904
3,0.9696458578109741,0.10187624394893646,0.9617117047309875,0.17109587788581848
4,0.982574462890625,0.051711179316043854,0.9763513803482056,0.09397458285093307
5,0.9848229289054871,0.04772357642650604,0.9583333134651184,0.21441102027893066
6,0.9761101603507996,0.0641649067401886,0.934684693813324,0.24745143949985504
7,0.9834176301956177,0.04433245584368706,0.9763513803482056,0.13614487648010254
8,0.9921303987503052,0.03155575320124626,0.9740990996360779,0.16407617926597595
9,0.994940996170044,0.01529787853360176,0.9695945978164673,0.20989595353603363
10,0.9870713949203491,0.04194346442818642,0.9617117047309875,0.24208559095859528
11,0.9918493628501892,0.03115055151283741,0.9718468189239502,0.20540599524974823
12,0.9943788647651672,0.015007119625806808,0.9819819927215576,0.12996535003185272
13,0.9876335263252258,0.03988371416926384,0.962837815284729,0.12753409147262573
14,0.9910061955451965,0.03774087876081467,0.977477490901947,0.1179177537560463
15,0.9952220320701599,0.014218109659850597,0.9707207083702087,0.20182614028453827
16,0.9966273307800293,0.010221625678241253,0.9662162065505981,0.27797752618789673
17,0.9682405591011047,0.09270691871643066,0.9436936974525452,0.2777685821056366
18,0.9896008968353271,0.03224404156208038,0.9538288116455078,0.313385009765625
19,0.9971894025802612,0.007881710305809975,0.9808558821678162,0.11982061713933945
20,0.9988757967948914,0.006339980289340019,0.9707207083702087,0.2524215281009674
21,0.9983136653900146,0.004534200299531221,0.9695945978164673,0.1948022097349167
22,0.9977515339851379,0.006308126263320446,0.9707207083702087,0.17104630172252655
23,0.9955030679702759,0.020718630403280258,0.9729729890823364,0.1155892089009285
24,0.9915682673454285,0.028106283396482468,0.9594594836235046,0.1927529126405716
