epoch,accuracy,loss,val_accuracy,val_loss
0,0.6902754306793213,0.7518203258514404,0.9425675868988037,0.21306712925434113
1,0.9013490676879883,0.266909658908844,0.8772522807121277,0.3786994516849518
2,0.9274873733520508,0.20549173653125763,0.957207202911377,0.15979860723018646
3,0.9592467546463013,0.12035572528839111,0.9639639854431152,0.15684136748313904
4,0.9671163558959961,0.09387877583503723,0.9831081032752991,0.08342878520488739
5,0.9710511565208435,0.07579351216554642,0.934684693813324,0.21069413423538208
6,0.9735806584358215,0.06940631568431854,0.9617117047309875,0.16553440690040588
7,0.9873524308204651,0.03994058072566986,0.9662162065505981,0.14391957223415375
8,0.9893198609352112,0.036598365753889084,0.962837815284729,0.239016592502594
9,0.9848229289054871,0.04914829879999161,0.977477490901947,0.1204071119427681
10,0.9870713949203491,0.043457262217998505,0.9380630850791931,0.23829315602779388
11,0.9879145622253418,0.03227631747722626,0.9583333134651184,0.21889349818229675
12,0.9845418930053711,0.040730468928813934,0.9718468189239502,0.12002971768379211
13,0.9910061955451965,0.029772792011499405,0.9470720887184143,0.2912715673446655
14,0.9926925301551819,0.02676188386976719,0.9786036014556885,0.1522132009267807
15,0.9960651993751526,0.010865271091461182,0.9786036014556885,0.1435464471578598
16,0.9952220320701599,0.01925460249185562,0.9752252101898193,0.18270573019981384
17,0.9946599006652832,0.013921552337706089,0.9718468189239502,0.16577306389808655
18,0.9929735660552979,0.021217023953795433,0.9763513803482056,0.19222302734851837
19,0.9935356974601746,0.026798132807016373,0.9662162065505981,0.18746837973594666
20,0.9969083666801453,0.00828236248344183,0.9594594836235046,0.4442817270755768
21,0.9584035873413086,0.13641521334648132,0.9662162065505981,0.18064947426319122
22,0.9915682673454285,0.025400348007678986,0.9650900959968567,0.27447983622550964
23,0.9929735660552979,0.01995841972529888,0.9729729890823364,0.1096697449684143
24,0.9977515339851379,0.0061731706373393536,0.9763513803482056,0.18311089277267456
