epoch,accuracy,loss,val_accuracy,val_loss
0,0.3192805051803589,1.2977807521820068,0.4279279410839081,1.1039031744003296
1,0.36509275436401367,1.254318118095398,0.4380630552768707,1.086093783378601
2,0.4182124733924866,1.206221580505371,0.5213963985443115,1.0062243938446045
3,0.4502529501914978,1.1536659002304077,0.5934684872627258,0.8274194598197937
4,0.47948285937309265,1.1147680282592773,0.6171171069145203,0.7722503542900085
5,0.4994378983974457,1.0859512090682983,0.6644144058227539,0.7389190196990967
6,0.537380576133728,1.0302883386611938,0.662162184715271,0.7322325110435486
7,0.5449690818786621,1.0280494689941406,0.712837815284729,0.6887515783309937
8,0.5711073875427246,0.9827327728271484,0.6283783912658691,0.8080677390098572
9,0.5840359926223755,0.9503660798072815,0.6869369149208069,0.7043628692626953
10,0.6101742386817932,0.9138197898864746,0.7105855941772461,0.6528173685073853
11,0.6160764694213867,0.8981510400772095,0.7601351141929626,0.5851104259490967
12,0.6261944770812988,0.8806954622268677,0.7308558821678162,0.6239834427833557
13,0.6399662494659424,0.8509278297424316,0.7691441178321838,0.5226268768310547
14,0.6554244160652161,0.836762011051178,0.7635135054588318,0.6033832430839539
15,0.6630129218101501,0.8150643706321716,0.772522509098053,0.5886591076850891
16,0.6666666865348816,0.7947020530700684,0.7770270109176636,0.5651332139968872
17,0.6857784986495972,0.7637377381324768,0.7995495200157166,0.5258515477180481
18,0.6956155300140381,0.7442554831504822,0.8119369149208069,0.5108439922332764
19,0.6916807293891907,0.7390291690826416,0.7837837934494019,0.5320019125938416
20,0.7006745338439941,0.7324759364128113,0.7635135054588318,0.5976256132125854
21,0.7096683382987976,0.7114447951316833,0.7939189076423645,0.5012375712394714
22,0.7116357684135437,0.6984350085258484,0.8355855941772461,0.4181973934173584
23,0.7327150106430054,0.6626054048538208,0.8468468189239502,0.40059056878089905
24,0.7299044132232666,0.6551845669746399,0.8445945978164673,0.4005880355834961
25,0.7433951497077942,0.6436102390289307,0.8130630850791931,0.47740083932876587
26,0.7473299503326416,0.6223284602165222,0.815315306186676,0.4684550166130066
